original file/module,original public item path,kind,original signature/arity/argument order,port module/item path,port signature/arity/argument order,status,evidence
bastet/src/Array.mli,Array.Foldable/Unfoldable/Traversable,module/functor,"fold_left, fold_right, fold_map, unfold, traverse, sequence",Bastet_Array.Foldable/Unfoldable/Traversable,"same names; ReScript array syntax",equivalent,"Array tests plus Test_Semantic_Audit traversable witness"
bastet/src/Array.mli,Array.Eq/Ord/Show/Invariant/Extend/Infix,module/functor,"derived instances and infix operators",Bastet_Array.Eq/Ord/Show/Invariant/Extend/Infix,"same names and operator semantics",equivalent,"Array tests and law suites"
bastet/src/ArrayF.ml,ArrayF.IMPL / ARRAY / Make,module type/functor,"array implementation abstraction and full ARRAY output",Bastet_ArrayF.IMPL / ARRAY / Make,"same functor input/output with ReScript signatures",equivalent,"Bastet_Array.resi; Test_Semantic_Audit compile witness"
bastet_js/src/JsArray.ml,JsArray include ArrayF.Make,module,"JS Array-backed ArrayF instance",Bastet_Array / Bastet_ArrayF,"ReScript standard Array-backed ArrayF instance",renamed-equivalent,"mapped as public Bastet.Array; Array tests pass"
bastet/src/List.ml,List.Functor/Alt/Apply/Applicative/Monad/Plus/Alternative,module,"list FP instances",Bastet_List.*,"same exposed functions",equivalent,"List law tests"
bastet/src/List.ml,List.Foldable/Unfoldable/Traversable,module/functor,"folds, unfold, traverse, sequence",Bastet_List.*,"same names and argument order",equivalent,"List tests plus Test_Semantic_Audit traversable witness"
bastet/src/List.ml,List.Eq/Show/Infix,module/functor,"list equality, display, operators",Bastet_List.*,"same names and operators",equivalent,"List tests"
bastet/src/Option.ml,Option.maybe / getWithDefault,let,"(~f) -> default -> option -> value; default -> option -> value",Bastet_Option.maybe / getWithDefault,"labeled f/default for maybe; same semantic order",equivalent,"Test_Option plus Test_Semantic_Audit maybe argument-order test"
bastet/src/Option.ml,Option.Functor/Apply/Applicative/Monad/module instances,module,"option FP instances",Bastet_Option.*,"same exposed functions",equivalent,"Option law tests"
bastet/src/Option.ml,Option.Magma/Semigroup/Monoid/Quasigroup/Loop,module functor,"lift algebra into option",Bastet_Option.*,"same functor outputs",equivalent,"Option Semigroup/Monoid tests; source-equivalence review"
bastet/src/Option.ml,Option.Alt/Plus/Alternative/Foldable/Traversable/Eq/Ord/Show/Infix,module/functor,"remaining option instances and operators",Bastet_Option.*,"same names and argument order",equivalent,"Option tests and traversable witness"
bastet/src/Result.ml,Result.result,let,"('a -> 'c) -> ('b -> 'c) -> ('a,'b) result -> 'c",Bastet_Result.result,"('a=>'c, 'b=>'c, result<'a,'b>)=>'c",equivalent,"Test_Semantic_Audit branch-order test"
bastet/src/Result.ml,Result.Magma/Medial_Magma/Semigroup,module functor,"lift Ok side algebra, preserve Error semantics",Bastet_Result.*,"same functor parameter order T then algebra",equivalent,"Result law tests"
bastet/src/Result.ml,Result.Functor/Bifunctor/Apply/Applicative/Monad/Alt/Extend,module/functor,"result FP instances",Bastet_Result.*,"same exposed functions",equivalent,"Result law tests"
bastet/src/Result.ml,Result.Show/Eq/Ord/Bounded,module functor,"display, equality, ordering, bounds",Bastet_Result.*,"same semantics; Error < Ok ordering",equivalent,"Result tests plus Test_Semantic_Audit Ord test"
bastet/src/Result.ml,Result.Many_Valued_Logic,module,"quasireflexive eq/ord and lattice/heyting/boolean instances",Bastet_Result.Many_Valued_Logic,"same nested module names and laws",equivalent,"Toggle and Result law tests"
bastet/src/Result.ml,Result.Foldable/Bifoldable/Traversable/Bitraversable,module/functor,"fold/traverse both one- and two-parameter result",Bastet_Result.*,"same exposed functions",equivalent,"Result tests plus Test_Semantic_Audit compile witness"
bastet/src/Result.ml,Result.Infix,module,"Bifunctor infix operators",Bastet_Result.Infix,"same operators",equivalent,"source-equivalence review; Bifunctor tests"
bastet/src/Result.ml,Result.Choose / Unsafe / is_ok / is_error / note / hush,module/let,"choose over ALT; unsafe extractors; predicates; option/result conversions",Bastet_Result.Choose / Unsafe / is_ok / is_error / note / hush,"same names and semantics; ReScript throw replaces OCaml raise for unsafe extractors",equivalent,"source-equivalence review; Result_Utilities tests"
bastet/src/Function.ml,Function.flip,let,"('a -> 'b -> 'c) -> 'b -> 'a -> 'c",Bastet_Function.flip,"(('a,'b)=>'c,'b,'a)=>'c",equivalent,"Function tests"
bastet/src/Function.ml,Function.Functor/Apply/Invariant/Contravariant/Bicontravariant,module functor,"function instances parameterized by TYPE",Bastet_Function.*,"same functor outputs",equivalent,"Function law tests"
bastet/src/Function.ml,Function.Semigroupoid/Category/Profunctor/Infix,module,"composition/category/profunctor operators",Bastet_Function.*,"same names and operators",equivalent,"Function law tests"
bastet/src/Functions.ml,Functions.const / flip,let,"constant and flipped function helpers",Bastet_Functions.const / flip,"same semantics",equivalent,"Functions tests; source-equivalence review"
bastet/src/Functions.ml,Functions.Monoid/Functor/Apply/Apply'/Applicative/Monad/Foldable/Traversable/Infix,module functor,"derived helper functions over type class instances",Bastet_Functions.*,"same names and outputs",equivalent,"Functions tests plus compile witness"
bastet/src/Tuple.ml,Tuple.first / second,let,"('a * 'b) -> 'a; ('a * 'b) -> 'b",Bastet_Tuple.first / second,"(('a,'b))=>'a; (('a,'b))=>'b",equivalent,"Test_Semantic_Audit first/second test"
bastet/src/Tuple.ml,Tuple.Magma/Semigroup/Monoid,module functor,"componentwise algebra",Bastet_Tuple.*,"same parameter order",equivalent,"Tuple law tests"
bastet/src/Tuple.ml,Tuple.Functor/Apply/Applicative/Monad/Foldable/Traversable,module functor,"right-biased tuple instances with first-side accumulation",Bastet_Tuple.*,"same semantics",equivalent,"Tuple tests plus compile witness"
bastet/src/Tuple.ml,Tuple.Eq/Show/Semigroupoid/Bifunctor/Biapply/Biapplicative/Bifoldable/Bitraversable/Infix,module/functor,"tuple comparison/display/category/bifunctor instances",Bastet_Tuple.*,"same exposed functions",equivalent,"Tuple tests plus compile witness"
bastet/src/Bool.ml,Bool.Conjunctive/Disjunctive,module,"boolean algebra monoids",Bastet_Bool.Conjunctive/Disjunctive,"same append/empty",equivalent,"Bool tests"
bastet/src/Bool.ml,Bool.Eq/Ord/Bounded/lattice/heyting/boolean/Show/Infix,module,"bool instances and operators",Bastet_Bool.*,"same names and laws",equivalent,"Bool law tests"
bastet/src/Int.ml,Int.Additive/Multiplicative/Subtractive/Divisive,module,"integer arithmetic algebras",Bastet_Int.*,"same operations",equivalent,"Int law tests"
bastet/src/Int.ml,Int.Eq/Ord/Bounded/Show/Semiring/Ring/Commutative_Ring/Euclidean_Ring/Infix,module,"integer instances and operators",Bastet_Int.*,"same public surface",equivalent,"Int law tests"
bastet/src/Float.ml,Float.approximately_equal,let,"~tolerance -> float -> float -> bool",Bastet_Float.approximately_equal,"~tolerance:float, float, float => bool",equivalent,"Float tests use approximate equality"
bastet/src/Float.ml,Float.Additive/Multiplicative/Subtractive/Divisive,module,"float arithmetic algebras",Bastet_Float.*,"same operations",equivalent,"Float law tests"
bastet/src/Float.ml,Float.Eq/Ord/Bounded/Show/Semiring/Ring/Commutative_Ring/Division_Ring/Euclidean_Ring/Field/Infix,module,"float instances and operators; native Show uses string_of_float",Bastet_Float.*,"same algebraic public surface; Show intentionally uses ReScript/JS Float.toString",renamed-equivalent,"Float law tests; documented ReScript-target display difference"
bastet_js/src/JsFloat.ml,JsFloat.Show,module,"JS float show override using Js.Float.toString",Bastet_Float.Show,"single ReScript Float surface uses same JS formatting",equivalent,"Test_Semantic_Audit Float show regression"
bastet/src/String.ml,String.Magma/Semigroup/Monoid/Quasigroup/Loop/Eq/Ord/Show/Infix,module,"string concatenation, empty, comparison, display, operators",Bastet_String.*,"same names and semantics",equivalent,"String tests"
bastet/src/Default.ml,Default.FOLD/FOLD_MAP/TRAVERSE/SEQUENCE,module type,"default derivation input shapes",Bastet_Default.*,"same module type roles",equivalent,"Default tests"
bastet/src/Default.ml,Default.Fold_Map/Fold_Map_Any/Fold_Map_Plus/Fold/Sequence/Traverse,module functor,"derived fold and traverse defaults",Bastet_Default.*,"same functor outputs",equivalent,"Default tests and coverage"
bastet/src/Endo.ml,Endo.endo,type,"Endo of ('a -> 'a)",Bastet_Endo.endo,"Endo('a => 'a)",equivalent,"compile witness"
bastet/src/Endo.ml,Endo.Magma/Semigroup/Monoid/Infix,module,"endomorphism composition monoid and operators",Bastet_Endo.*,"same semantics",equivalent,"Endo compile witness; source-equivalence review"
bastet/src/Dual.ml,Dual.dual,type,"Dual of 'a",Bastet_Dual.dual,"Dual('a)",equivalent,"compile witness"
bastet/src/Dual.ml,Dual.Magma/Semigroup/Monoid/Magma_Any/Semigroup_Any/Monoid_Any,module functor,"reverse append order wrappers",Bastet_Dual.*,"same semantics",equivalent,"compile witness; source-equivalence review"
bastet/src/Dual.ml,Dual.Functor/Applicative/Monad/Foldable/Traversable/Infix,module/functor,"dual FP instances",Bastet_Dual.*,"same exposed functions",equivalent,"compile witness; coverage documents residual test gap"
bastet/src/Infix.ml,Infix.* modules,module functor,"operator modules for algebra, FP, order, lattice, bifunctor",Bastet_Infix.*,"same operator names escaped for ReScript",equivalent,"tests use operators across modules"
bastet/src/Functors.ml,Functors.ArrayF/ListF/OptionF/ResultF/TupleF/FunctionF,module,"pre-instantiated functor namespace",Bastet_Functors.*,"same namespace with ReScript module aliases",equivalent,"Demo and tests compile; Test_Semantic_Audit witness"
bastet/src/PPX_Let.ml,PPX_Let.PPX_LET / Make,module type/functor,"ppx_let-compatible return/bind/map/both/Open_on_rhs",Bastet_PPX_Let.PPX_LET / Make,"same public shape",equivalent,"new Test_PPX_Let translated from original"
bastet_js/src/Date.ml,Date.Magma/Medial_Magma/Semigroup/Monoid/Eq/Ord/Infix,module,"Date millisecond addition, empty, comparison, operators",Bastet_Date.*,"uses ReScript Date.t and Date stdlib",equivalent,"Date law tests plus Test_Semantic_Audit Date test"
bastet_js/src/Dict.ml,Dict.fold_left / fold_left_keys / merge / unsafe_from_object / insert,external/let,"dict folds, merge with left precedence, unsafe object cast, mutating insert",Bastet_Dict.*,"same semantics; raw globals fixed for public external access",equivalent,"Dict tests plus Test_Semantic_Audit merge/insert tests"
bastet_js/src/Dict.ml,Dict.Functor/Apply/Alt/Plus/Foldable/Traversable,module/functor,"dict FP/fold/traverse instances",Bastet_Dict.*,"same public surface",equivalent,"Dict law tests"
bastet_js/src/Promise.ml,Promise.Functor/Apply/Applicative,module,"promise map/apply/pure",Bastet_Promise.*,"same public surface using ReScript Promise API",equivalent,"Promise law tests"
bastet/src/Array.ml,Array include ArrayF.Make,module,"core array public include",Bastet_Array include Bastet_ArrayF.Make,"same aggregate module",equivalent,"Array tests"
bastet/src/index.mld.template,index docs,documentation,"generated documentation template",none,"ignored per plan",intentionally-omitted,"not source API"
none,ReScript aggregate,module,"port aggregate namespace",src/Bastet.res,"re-exports all audited Bastet_* modules",port-only,"compatibility with ReScript module naming; no original omission"
none,BsBastet,module,"port compatibility namespace",src/BsBastet.res,"include Bastet",port-only,"alias only; no behavior"
none,Demo,module,"port example/demo source",src/Demo.res,"example values and console logging; not re-exported by Bastet.res",port-only,"not original public API; no production dependents"
